Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;3632;123;;;
3500204;Interior;Adolfo;587;16;;;
3500303;Interior;Aguaí;3340;102;;;
3500402;Interior;Águas da Prata;607;24;;;
3500501;Interior;Águas de Lindóia;1929;48;;;
3500550;Interior;Águas de Santa Bárbara;524;16;;;
3500600;Interior;Águas de São Pedro;364;9;;;
3500709;Interior;Agudos;4217;102;;;
3500758;Interior;Alambari;601;11;;;
3500808;Interior;Alfredo Marcondes;250;12;;;
3500907;Interior;Altair;283;13;;;
3501004;Interior;Altinópolis;839;44;;;
3501103;Interior;Alto Alegre;374;21;;;
3501152;Interior;Alumínio;1533;46;;;
3501202;Interior;Álvares Florence;491;14;;;
3501301;Interior;Álvares Machado;2242;68;;;
3501400;Interior;Álvaro de Carvalho;156;9;;;
3501509;Interior;Alvinlândia;140;9;;;
3501608;Interior;Americana;24391;760;;;
3501707;Interior;Américo Brasiliense;4026;91;;;
3501806;Interior;Américo de Campos;1079;33;;;
3501905;Interior;Amparo;6867;134;;;
3502002;Interior;Analândia;330;5;;;
3502101;Interior;Andradina;6396;261;;;
3502200;Interior;Angatuba;2951;72;;;
3502309;Interior;Anhembi;288;6;;;
3502408;Interior;Anhumas;224;7;;;
3502507;Interior;Aparecida;2404;99;;;
3502606;Interior;Aparecida d'Oeste;747;16;;;
3502705;Interior;Apiaí;1611;76;;;
3502754;Interior;Araçariguama;1936;62;;;
3502804;Interior;Araçatuba;27633;830;;;
3502903;Interior;Araçoiaba da Serra;2892;77;;;
3503000;Interior;Aramina;336;17;;;
3503109;Interior;Arandu;591;13;;;
3503158;Interior;Arapeí;236;3;;;
3503208;Interior;Araraquara;23144;467;;;
3503307;Interior;Araras;16765;373;;;
3503356;Interior;Arco-Íris;153;8;;;
3503406;Interior;Arealva;969;17;;;
3503505;Interior;Areias;339;2;;;
3503604;Interior;Areiópolis;1335;20;;;
3503703;Interior;Ariranha;938;23;;;
3503802;Interior;Artur Nogueira;5076;128;;;
3503901;RMSP (exceto capital);Arujá;7727;322;;;
3503950;Interior;Aspásia;198;7;;;
3504008;Interior;Assis;11079;386;;;
3504107;Interior;Atibaia;11475;257;;;
3504206;Interior;Auriflama;1995;69;;;
